Interpreter,Algorithm,DataType,Size,Time (s),PeakMemory (MB)
CPython,Heap,AlmostSorted,50000,0.9470042001921684,0.000858306884765625
CPython,Heap,Random,1000000,25.1453931001015,0.001102447509765625
CPython,Heap,Sorted,1000000,24.17330490006134,0.001102447509765625
CPython,Heap,Reversed,1000000,21.609381900168955,0.001102447509765625
CPython,Heap,AlmostSorted,1000000,24.123395199887455,0.001102447509765625
CPython,Counting,Random,10,6.000022403895855e-05,0.0005340576171875
CPython,Counting,Sorted,10,2.119992859661579e-05,0.00032806396484375
CPython,Counting,Reversed,10,1.850002445280552e-05,0.00032806396484375
CPython,Counting,AlmostSorted,10,1.7300015315413475e-05,0.00032806396484375
CPython,Counting,Random,500,0.001571199856698513,0.020244598388671875
CPython,Counting,Sorted,500,0.0009310001041740179,0.015354156494140625
CPython,Counting,Reversed,500,0.0008111000061035156,0.015354156494140625
CPython,Counting,AlmostSorted,500,0.0007442000787705183,0.015354156494140625
CPython,Counting,Random,1000,0.0034317001700401306,0.045291900634765625
CPython,Counting,Sorted,1000,0.0017562001012265682,0.038852691650390625
CPython,Counting,Reversed,1000,0.0019440001342445612,0.038852691650390625
CPython,Counting,AlmostSorted,1000,0.001969400094822049,0.038852691650390625
CPython,Counting,Random,50000,0.16408519982360303,2.3511314392089844
CPython,Counting,Sorted,50000,0.10068259993568063,2.3233985900878906
CPython,Counting,Reversed,50000,0.09999649995006621,2.3233985900878906
CPython,Counting,AlmostSorted,50000,0.10091900010593235,2.3233985900878906
CPython,Counting,Random,1000000,3.4188999000471085,47.37862777709961
CPython,Counting,Sorted,1000000,2.088266700040549,46.19656753540039
CPython,Counting,Reversed,1000000,2.059172100154683,46.19656753540039
CPython,Counting,AlmostSorted,1000000,2.0938474000431597,46.19656753540039
CPython,Radix,Random,10,0.000179799972102046,0.0006866455078125
CPython,Radix,Sorted,10,2.7399975806474686e-05,0.000762939453125
CPython,Radix,Reversed,10,3.300001844763756e-05,0.000762939453125
CPython,Radix,AlmostSorted,10,2.9700109735131264e-05,0.000762939453125
CPython,Radix,Random,500,0.000848699826747179,0.0341949462890625
CPython,Radix,Sorted,500,0.0007535000331699848,0.0270843505859375
CPython,Radix,Reversed,500,0.0005934000946581364,0.0270843505859375
CPython,Radix,AlmostSorted,500,0.0007197998929768801,0.0270843505859375
CPython,Radix,Random,1000,0.0020206000190228224,0.0782623291015625
CPython,Radix,Sorted,1000,0.0015179000329226255,0.0705718994140625
CPython,Radix,Reversed,1000,0.001554299844428897,0.0705718994140625
CPython,Radix,AlmostSorted,1000,0.0014701001346111298,0.0705718994140625
CPython,Radix,Random,50000,0.13269599992781878,4.2903900146484375
CPython,Radix,Sorted,50000,0.12156410003080964,4.2896270751953125
CPython,Radix,Reversed,50000,0.13884489983320236,4.2896270751953125
CPython,Radix,AlmostSorted,50000,0.12852979986928403,4.2896270751953125
CPython,Radix,Random,1000000,4.888102500000969,85.09016418457031
CPython,Radix,Sorted,1000000,3.3477185999508947,84.77247619628906
CPython,Radix,Reversed,1000000,3.4397110000718385,84.77247619628906
CPython,Radix,AlmostSorted,1000000,3.50447509996593,84.77247619628906
CPython,Bucket,Random,10,9.779981337487698e-05,0.000396728515625
CPython,Bucket,Sorted,10,4.060007631778717e-05,0.000396728515625
CPython,Bucket,Reversed,10,2.450007013976574e-05,0.000396728515625
CPython,Bucket,AlmostSorted,10,2.4399952962994576e-05,0.000396728515625
CPython,Bucket,Random,500,0.0007510001305490732,0.009124755859375
CPython,Bucket,Sorted,500,0.00033139996230602264,0.008514404296875
CPython,Bucket,Reversed,500,0.0006592001300305128,0.008514404296875
CPython,Bucket,AlmostSorted,500,0.0003670998848974705,0.008514404296875
CPython,Bucket,Random,1000,0.001264600083231926,0.016845703125
CPython,Bucket,Sorted,1000,0.0009101999457925558,0.017608642578125
CPython,Bucket,Reversed,1000,0.0017448000144213438,0.017608642578125
CPython,Bucket,AlmostSorted,1000,0.0007575999479740858,0.017608642578125
CPython,Bucket,Random,50000,0.1967742999549955,0.842620849609375
CPython,Bucket,Sorted,50000,0.03695750003680587,0.8299407958984375
CPython,Bucket,Reversed,50000,0.33986560022458434,0.8299407958984375
CPython,Bucket,AlmostSorted,50000,0.05227280012331903,0.8299407958984375
CPython,Bucket,Random,1000000,255.0724074000027,16.79153823852539
CPython,Bucket,Sorted,1000000,2.9410886999685317,16.354923248291016
CPython,Bucket,Reversed,1000000,385.4254222000018,16.354862213134766
CPython,Bucket,AlmostSorted,1000000,27.262511800043285,16.354923248291016
CPython,Builtin,Random,10,1.5900004655122757e-05,0.00014495849609375
