Interpreter,Algorithm,DataType,Size,Time (s),PeakMemory (MB)
PyPy,Counting,Sorted,500,0.0005431999452412128,N/A
PyPy,Counting,Reversed,500,0.0006085000932216644,N/A
PyPy,Counting,AlmostSorted,500,0.00030070007778704166,N/A
PyPy,Counting,Random,1000,6.529991514980793e-05,N/A
PyPy,Counting,Sorted,1000,0.000287200091406703,N/A
PyPy,Counting,Reversed,1000,0.0006478999275714159,N/A
PyPy,Counting,AlmostSorted,1000,2.9700109735131264e-05,N/A
PyPy,Counting,Random,50000,0.0022009999956935644,N/A
PyPy,Counting,Sorted,50000,0.001775100128725171,N/A
PyPy,Counting,Reversed,50000,0.001524199964478612,N/A
PyPy,Counting,AlmostSorted,50000,0.0009702001698315144,N/A
PyPy,Counting,Random,1000000,0.06225330010056496,N/A
PyPy,Counting,Sorted,1000000,0.03547240002080798,N/A
PyPy,Counting,Reversed,1000000,0.04031620011664927,N/A
PyPy,Counting,AlmostSorted,1000000,0.03527929983101785,N/A
PyPy,Radix,Random,10,4.970002919435501e-05,N/A
PyPy,Radix,Sorted,10,4.2400090023875237e-05,N/A
PyPy,Radix,Reversed,10,2.9799994081258774e-05,N/A
PyPy,Radix,AlmostSorted,10,1.9700033590197563e-05,N/A
PyPy,Radix,Random,500,0.002908300142735243,N/A
PyPy,Radix,Sorted,500,0.0002055999357253313,N/A
PyPy,Radix,Reversed,500,0.001273200148716569,N/A
PyPy,Radix,AlmostSorted,500,0.00011769984848797321,N/A
PyPy,Radix,Random,1000,0.0002009000163525343,N/A
PyPy,Radix,Sorted,1000,0.0001556000206619501,N/A
PyPy,Radix,Reversed,1000,0.00017000013031065464,N/A
PyPy,Radix,AlmostSorted,1000,0.0005405999254435301,N/A
PyPy,Radix,Random,50000,0.005506699904799461,N/A
PyPy,Radix,Sorted,50000,0.005315599963068962,N/A
PyPy,Radix,Reversed,50000,0.013737099943682551,N/A
PyPy,Radix,AlmostSorted,50000,0.0033233000431209803,N/A
PyPy,Radix,Random,1000000,0.28172559989616275,N/A
PyPy,Radix,Sorted,1000000,0.25658480008132756,N/A
PyPy,Radix,Reversed,1000000,0.24081970006227493,N/A
PyPy,Radix,AlmostSorted,1000000,0.25159660005010664,N/A
PyPy,Bucket,Random,10,7.420009933412075e-05,N/A
PyPy,Bucket,Sorted,10,6.160000339150429e-05,N/A
PyPy,Bucket,Reversed,10,3.560003824532032e-05,N/A
PyPy,Bucket,AlmostSorted,10,3.160000778734684e-05,N/A
PyPy,Bucket,Random,500,0.0020047000143676996,N/A
PyPy,Bucket,Sorted,500,0.0003750000614672899,N/A
PyPy,Bucket,Reversed,500,0.00486089987680316,N/A
PyPy,Bucket,AlmostSorted,500,0.000866900198161602,N/A
PyPy,Bucket,Random,1000,0.0001952000893652439,N/A
PyPy,Bucket,Sorted,1000,0.00016109994612634182,N/A
PyPy,Bucket,Reversed,1000,0.0003374998923391104,N/A
PyPy,Bucket,AlmostSorted,1000,0.00016780011355876923,N/A
PyPy,Bucket,Random,50000,0.005924999946728349,N/A
PyPy,Bucket,Sorted,50000,0.002972800051793456,N/A
PyPy,Bucket,Reversed,50000,0.007920000003650784,N/A
PyPy,Bucket,AlmostSorted,50000,0.001985599985346198,N/A
PyPy,Bucket,Random,1000000,0.28142879996448755,N/A
PyPy,Bucket,Sorted,1000000,0.044952299911528826,N/A
PyPy,Bucket,Reversed,1000000,0.4635465999599546,N/A
PyPy,Bucket,AlmostSorted,1000000,0.06704410002566874,N/A
PyPy,Builtin,Random,10,1.810002140700817e-05,N/A
PyPy,Builtin,Sorted,10,1.8600141629576683e-05,N/A
PyPy,Builtin,Reversed,10,7.200054824352264e-06,N/A
PyPy,Builtin,AlmostSorted,10,5.299923941493034e-06,N/A
PyPy,Builtin,Random,500,0.0009762002155184746,N/A
PyPy,Builtin,Sorted,500,5.499925464391708e-06,N/A
PyPy,Builtin,Reversed,500,5.00003807246685e-06,N/A
PyPy,Builtin,AlmostSorted,500,1.4099990949034691e-05,N/A
PyPy,Builtin,Random,1000,6.900005973875523e-05,N/A
PyPy,Builtin,Sorted,1000,8.699949830770493e-06,N/A
PyPy,Builtin,Reversed,1000,6.299931555986404e-06,N/A
PyPy,Builtin,AlmostSorted,1000,2.2700056433677673e-05,N/A
PyPy,Builtin,Random,50000,0.00525819999165833,N/A
PyPy,Builtin,Sorted,50000,0.00014319992624223232,N/A
PyPy,Builtin,Reversed,50000,0.00012289988808333874,N/A
PyPy,Builtin,AlmostSorted,50000,0.0015133998822420835,N/A
PyPy,Builtin,Random,1000000,0.1410673998761922,N/A
PyPy,Builtin,Sorted,1000000,0.007813599891960621,N/A
PyPy,Builtin,Reversed,1000000,0.00267399987205863,N/A
PyPy,Builtin,AlmostSorted,1000000,0.03683410002849996,N/A
