Interpreter,Algorithm,DataType,Size,Time (s),PeakMemory (MB)
CPython,Heap,AlmostSorted,50000,0.9470042001921684,0.0008583068847656
CPython,Heap,Random,1000000,25.1453931001015,0.0011024475097656
CPython,Heap,Sorted,1000000,24.17330490006134,0.0011024475097656
CPython,Heap,Reversed,1000000,21.609381900168955,0.0011024475097656
CPython,Heap,AlmostSorted,1000000,24.12339519988745,0.0011024475097656
CPython,Counting,Random,10,6.000022403895855e-05,0.0005340576171875
CPython,Counting,Sorted,10,2.119992859661579e-05,0.0003280639648437
CPython,Counting,Reversed,10,1.850002445280552e-05,0.0003280639648437
CPython,Counting,AlmostSorted,10,1.7300015315413475e-05,0.0003280639648437
CPython,Counting,Random,500,0.0015711998566985,0.0202445983886718
CPython,Counting,Sorted,500,0.000931000104174,0.0153541564941406
CPython,Counting,Reversed,500,0.0008111000061035,0.0153541564941406
CPython,Counting,AlmostSorted,500,0.0007442000787705,0.0153541564941406
CPython,Counting,Random,1000,0.0034317001700401,0.0452919006347656
CPython,Counting,Sorted,1000,0.0017562001012265,0.0388526916503906
CPython,Counting,Reversed,1000,0.0019440001342445,0.0388526916503906
CPython,Counting,AlmostSorted,1000,0.001969400094822,0.0388526916503906
CPython,Counting,Random,50000,0.164085199823603,2.3511314392089844
CPython,Counting,Sorted,50000,0.1006825999356806,2.32339859008789
CPython,Counting,Reversed,50000,0.0999964999500662,2.32339859008789
CPython,Counting,AlmostSorted,50000,0.1009190001059323,2.32339859008789
CPython,Counting,Random,1000000,3.4188999000471085,47.37862777709961
CPython,Counting,Sorted,1000000,2.088266700040549,46.19656753540039
CPython,Counting,Reversed,1000000,2.059172100154683,46.19656753540039
CPython,Counting,AlmostSorted,1000000,2.09384740004316,46.19656753540039
CPython,Radix,Random,10,0.000179799972102,0.0006866455078125
CPython,Radix,Sorted,10,2.739997580647469e-05,0.000762939453125
CPython,Radix,Reversed,10,3.300001844763756e-05,0.000762939453125
CPython,Radix,AlmostSorted,10,2.9700109735131264e-05,0.000762939453125
CPython,Radix,Random,500,0.0008486998267471,0.0341949462890625
CPython,Radix,Sorted,500,0.0007535000331699,0.0270843505859375
CPython,Radix,Reversed,500,0.0005934000946581,0.0270843505859375
CPython,Radix,AlmostSorted,500,0.0007197998929768,0.0270843505859375
CPython,Radix,Random,1000,0.0020206000190228,0.0782623291015625
CPython,Radix,Sorted,1000,0.0015179000329226,0.0705718994140625
CPython,Radix,Reversed,1000,0.0015542998444288,0.0705718994140625
CPython,Radix,AlmostSorted,1000,0.0014701001346111,0.0705718994140625
CPython,Radix,Random,50000,0.1326959999278187,4.2903900146484375
CPython,Radix,Sorted,50000,0.1215641000308096,4.2896270751953125
CPython,Radix,Reversed,50000,0.1388448998332023,4.2896270751953125
CPython,Radix,AlmostSorted,50000,0.128529799869284,4.2896270751953125
CPython,Radix,Random,1000000,4.888102500000969,85.09016418457031
CPython,Radix,Sorted,1000000,3.3477185999508947,84.77247619628906
CPython,Radix,Reversed,1000000,3.4397110000718385,84.77247619628906
CPython,Radix,AlmostSorted,1000000,3.50447509996593,84.77247619628906
CPython,Bucket,Random,10,9.779981337487698e-05,0.000396728515625
CPython,Bucket,Sorted,10,4.060007631778717e-05,0.000396728515625
CPython,Bucket,Reversed,10,2.450007013976574e-05,0.000396728515625
CPython,Bucket,AlmostSorted,10,2.4399952962994576e-05,0.000396728515625
CPython,Bucket,Random,500,0.000751000130549,0.009124755859375
CPython,Bucket,Sorted,500,0.000331399962306,0.008514404296875
CPython,Bucket,Reversed,500,0.0006592001300305,0.008514404296875
CPython,Bucket,AlmostSorted,500,0.0003670998848974,0.008514404296875
CPython,Bucket,Random,1000,0.0012646000832319,0.016845703125
CPython,Bucket,Sorted,1000,0.0009101999457925,0.017608642578125
CPython,Bucket,Reversed,1000,0.0017448000144213,0.017608642578125
CPython,Bucket,AlmostSorted,1000,0.000757599947974,0.017608642578125
CPython,Bucket,Random,50000,0.1967742999549955,0.842620849609375
CPython,Bucket,Sorted,50000,0.0369575000368058,0.8299407958984375
CPython,Bucket,Reversed,50000,0.3398656002245843,0.8299407958984375
CPython,Bucket,AlmostSorted,50000,0.052272800123319,0.8299407958984375
CPython,Bucket,Random,1000000,255.0724074000027,16.79153823852539
CPython,Bucket,Sorted,1000000,2.941088699968532,16.354923248291016
CPython,Bucket,Reversed,1000000,385.4254222000018,16.354862213134766
CPython,Bucket,AlmostSorted,1000000,27.262511800043285,16.354923248291016
CPython,Builtin,Random,10,1.5900004655122757e-05,0.0001449584960937
CPython,Builtin,Sorted,10,6.600050255656242e-06,0.0001449584960937
CPython,Builtin,Reversed,10,6.09993003308773e-06,0.0001449584960937
CPython,Builtin,AlmostSorted,10,5.700159817934036e-06,0.0001449584960937
CPython,Builtin,Random,500,4.329998046159744e-05,0.0038833618164062
CPython,Builtin,Sorted,500,5.100155249238014e-06,0.0038833618164062
CPython,Builtin,Reversed,500,1.7799902707338333e-05,0.0038833618164062
CPython,Builtin,AlmostSorted,500,1.3200100511312485e-05,0.0038833618164062
CPython,Builtin,Random,1000,7.16999638825655e-05,0.0114669799804687
CPython,Builtin,Sorted,1000,9.40007157623768e-06,0.0076980590820312
CPython,Builtin,Reversed,1000,7.799826562404633e-06,0.0076980590820312
CPython,Builtin,AlmostSorted,1000,2.4799956008791924e-05,0.0108642578125
CPython,Builtin,Random,50000,0.0051008998416364,0.5721817016601562
CPython,Builtin,Sorted,50000,0.0002077999524772,0.3815383911132812
CPython,Builtin,Reversed,50000,0.0002158000133931,0.3815383911132812
CPython,Builtin,AlmostSorted,50000,0.0010832999832928,0.571075439453125
CPython,Builtin,Random,1000000,0.1853056999389082,11.44390869140625
CPython,Builtin,Sorted,1000000,0.009604400023818,7.629463195800781
CPython,Builtin,Reversed,1000000,0.0113216000609099,7.629463195800781
CPython,Builtin,AlmostSorted,1000000,0.0557335000485181,11.443878173828123
PyPy,Bubble,Random,10,2.1099811419844627e-05,
PyPy,Bubble,Sorted,10,1.3299984857439997e-05,
PyPy,Bubble,Reversed,10,1.9999919459223747e-05,
PyPy,Bubble,AlmostSorted,10,1.2200092896819116e-05,
PyPy,Bubble,Random,500,0.010083100060001,
PyPy,Bubble,Sorted,500,0.0002892001066356,
PyPy,Bubble,Reversed,500,0.0002309998963028,
PyPy,Bubble,AlmostSorted,500,0.0002581998705863,
PyPy,Bubble,Random,1000,0.0008837999776005,
PyPy,Bubble,Sorted,1000,0.0010801998432725,
PyPy,Bubble,Reversed,1000,0.0006401999853551,
PyPy,Bubble,AlmostSorted,1000,0.0009687999263405,
PyPy,Selection,Random,10,1.6700010746717453e-05,
PyPy,Selection,Sorted,10,1.8300022929906845e-05,
